row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,137_C.mzML Peak area,RSZ_C.mzML Peak area,
360,439.2424203312005,6.9665246,,,,28,,,,,,,2348127.2,0,
362,514.2538646987714,6.9665246,,,,28,,,,,,,2488585.5,0,
363,129.05447214525728,6.9724874,,,,28,,,,,,,0,1954088.2,
364,560.3931031131867,6.9724874,,,,28,,,,,,,0,1.065943E8,
366,855.4956820106769,6.9890804,,,,28,3,[M+H]+,,2,367;366,854.48818,5.9809596E7,0,
367,877.4771657064487,6.9890804,,,,28,3,[M+Na]+,,2,367;366,854.48818,3038456.0,0,
368,227.1748708318555,6.992034,,,,28,,,,,,,2890129.0,2865725.2,
369,111.04409738397892,6.9949875,,,,28,,,,,,,0,2237153.2,
371,239.090746254159,6.9949875,,,,28,,,,,,,0,3620311.0,
372,257.10125177087764,6.9949875,,,,28,,,,,,,0,3114397.0,
373,275.1117209759563,6.9949875,,,,28,,,,,,,0,3167900.5,
374,437.74877067606803,6.9949875,,,,28,,,,,,,0,5281637.0,
375,706.4502888729314,6.9949875,,,,28,,,,,,,0,3.0248316E7,
376,852.5075243919231,6.9949875,,,,28,,,,,,,0,4.3759344E7,
378,983.5546308001484,7.011522,,,,26,,,,,,,1.8045376E7,0,
350,445.7460147162911,6.927817,,,,28,,,,,,,0,2.2308808E7,
379,293.1222458220283,7.0172977,,,,28,,,,,,,0,2.109565E7,
380,468.73371611618893,7.0172977,,,,28,,,,,,,0,2383543.5,
382,360.19068947613005,7.034926,,,,26,,,,,,,1487468.2,0,
383,492.28138484794977,7.057397,,,,26,,,,,,,1.144969E7,0,
384,503.2720649211033,7.057397,,,,26,,,,,,,1893380.8,0,
385,542.8043796662723,7.057397,,,,26,,,,,,,1344726.4,0,
391,331.20811803625975,7.082941,,,,,,,,,,,0,1363820.0,
389,435.2413825615715,7.0800986,,,,32,,,,,,,1175362.9,0,
390,643.3803724978961,7.0800986,,,,32,,,,,,,1.2975624E7,0,
393,445.2439866604765,7.102836,,,,32,4,[M+H]+,,2,406;393,444.23659,1.3613009E7,0,
394,456.23487051861315,7.102836,,,,32,,,,,,,2404212.2,0,
395,480.7624371864931,7.102836,,,,32,,,,,,,893136.75,0,
397,829.4815295393512,7.102836,,,,32,,,,,,,1235155.5,0,
398,960.5168704469008,7.102836,,,,32,,,,,,,1750431.9,0,
400,356.115375236098,7.105566,,,,32,,,,,,,0,2279943.5,
401,519.2170944831504,7.105566,,,,,,,,,,,0,499413.44,
404,889.4802095155304,7.126763,,,,32,5,[M+H]+,,2,404;406,888.47294,4.5697788E7,0,
407,261.1593425258194,7.1286755,,,,32,,,,,,,2567756.2,1848177.4,
387,588.3746017473192,7.057397,,,,,,,,,,,1.104476E7,0,
412,181.1220512034602,7.175632,,,,25,6,[M+H-H2O]+,,2,414;412,198.12533,0,567297.94,
413,199.1326262884558,7.175632,,,,25,6,[M+H]+,,2,413;414,198.12533,0,1093481.8,
414,221.11450800911095,7.175632,,,,25,6,[M+Na]+,,3,413;414;412,198.12533,0,1546863.9,
416,821.438787422913,7.1931143,,,,24,,,,,,,1088683.4,0,
415,586.3592682953717,7.1931143,,,,24,,,,,,,7342420.5,0,
421,493.7703810213622,7.2374015,,,,34,,,,,,,2214883.2,0,
422,550.7916162285833,7.2374015,,,,34,,,,,,,793091.25,0,
423,607.3338557136004,7.2374015,,,,34,,,,,,,2244830.0,0,
424,651.4431056341841,7.2374015,,,,34,,,,,,,5699091.0,0,
425,800.4676094948001,7.2374015,,,,34,,,,,,,1034955.6,0,
426,986.5332822858043,7.2374015,,,,34,,,,,,,3686196.0,0,
427,619.331650810267,7.259989,,,,34,,,,,,,2119296.5,0,
428,433.2280995518707,7.2847075,,,,34,,,,,,,649723.3,0,
430,462.7859143365642,7.2847075,,,,34,,,,,,,1406961.6,0,
431,677.3644499993458,7.2847075,,,,34,,,,,,,3256064.2,0,
432,793.516987109634,7.2847075,,,,34,,,,,,,739144.7,0,
433,865.4474529100698,7.2847075,,,,34,7,[M+H]+,,2,434;433,864.43969,5114445.0,0,
434,887.4284202641438,7.307322,,,,34,7,[M+Na]+,,2,434;433,864.43969,1784548.2,0,
435,358.2277271857213,7.329855,,,,29,,,,,,,585322.3,0,
436,752.4909746042678,7.329855,,,,29,,,,,,,952301.8,0,
437,396.3255033115844,7.337681,,,,,,,,,,,0,1635653.4,
439,414.2311412279277,7.352401,,,,30,,,,,,,1368568.2,0,
440,685.4274222789495,7.352401,,,,29,,,,,,,4062437.0,0,
442,210.05795257360307,7.3872495,,,,36,,,,,,,0,2306562.2,
443,363.1942343161455,7.3872495,,,,36,8,[M+H]+,,2,444;443,362.1869,0,419715.25,
444,385.17606667935894,7.3872495,,,,36,8,[M+Na]+,,2,444;443,362.1869,0,714399.6,
445,502.1732006097578,7.3872495,,,,36,9,[M+H]+,,2,447;445,501.166,0,1.014801E7,
447,524.1553031795455,7.3872495,,,,36,9,[M+Na]+,,2,447;445,501.166,0,2166677.8,
448,766.505517486913,7.3982277,,,,30,,,,,,,912039.25,0,
449,356.1154454797482,7.4091325,,,,36,,,,,,,0,6167612.0,
450,390.701268992074,7.4205856,,,,37,,,,,,,1113370.1,0,
451,742.4484777223116,7.4205856,,,,37,10,[M+H]+,,2,452;451,741.44209,7.157723E7,0,
453,181.1220129154445,7.4317303,,,,,,,,,,,0,521371.12,
454,301.2480859523679,7.4437294,,,,37,,,,,,,909788.6,0,
455,501.7859986294751,7.4437294,,,,37,,,,,,,1541287.0,0,
457,295.1435902088139,7.4666166,,,,,,,,,,,569594.25,0,
456,241.09677751542912,7.4666166,,,,,,,,,,,452185.38,0,
458,316.1538022043812,7.488831,,,,,,,,,,,803777.6,0,
460,421.19121278524165,7.50379,,,,38,,,,,,,0,1.0027984E7,
461,430.19666369999504,7.50379,,,,38,,,,,,,0,396145.12,
462,441.1873660198602,7.50379,,,,38,,,,,,,0,1000597.6,
464,859.3855600180016,7.50379,,,,38,,,,,,,0,2276665.8,
465,728.3740099848915,7.5113645,,,,35,,,,,,,2023231.5,0,
466,210.14849334164262,7.5287294,,,,38,,,,,,,0,1001600.9,
468,329.2541970689194,7.5347247,,,,35,,,,,,,825635.7,0,
469,600.3259676660144,7.5347247,,,,35,,,,,,,1303923.5,0,
470,144.13813104162313,7.5512834,,,,31,,,,,,,0,1326270.4,
471,398.3411000071184,7.5512834,,,,31,,,,,,,0,5051486.5,
474,333.23293832862663,7.580091,,,,40,,,,,,,1081362.8,0,
476,665.4587263494359,7.580091,,,,40,,,,,,,7375013.5,0,
477,897.5188209286678,7.580091,,,,40,,,,,,,712764.44,0,
478,935.5072997066458,7.580091,,,,40,,,,,,,3046216.5,0,
480,946.4983126293133,7.580091,,,,40,,,,,,,569660.06,0,
481,505.288709405859,7.6024947,,,,,,,,,,,380662.5,0,
482,123.11683920090611,7.6191354,,,,43,,,,,,,0,1238481.0,
483,147.1166090119175,7.6191354,,,,43,,,,,,,0,1485083.0,
484,165.1271900989576,7.6191354,,,,43,,,,,,,0,2377828.2,
485,183.1377387024255,7.6191354,,,,43,11,[M+H-H2O]+,,2,485;487,200.14098,0,1330240.6,
486,201.14825547303028,7.6191354,,,,43,11,[M+H]+,,2,486;487,200.14098,0,1128747.5,
487,223.13015157456556,7.6191354,,,,43,11,[M+Na]+,,3,485;486;487,200.14098,0,3071862.0,
488,228.15905239676724,7.6191354,,,,43,12,[M+H]+,,2,489;488,227.15173,0,6237234.0,
489,250.14090207219905,7.6191354,,,,43,12,[M+Na]+,,2,488;489,227.15173,0,3001963.2,
491,466.2289373506752,7.6191354,,,,43,13,[M+NH4]+,,2,491;492,448.19438,0,1137005.5,
492,471.1828655049728,7.6191354,,,,43,13,[M+Na]+,,2,491;492,448.19438,0,4469444.5,
493,536.8417148095716,7.6273093,,,,40,,,,,,,1703746.8,0,
494,171.09154686361632,7.64843,,,,33,,,,,,,1083005.2,0,
495,544.2759648289115,7.64843,,,,33,,,,,,,513673.6,0,
496,603.3016870093433,7.6634245,,,,,,,,,,,0,492134.5,
497,274.1434241915215,7.668013,,,,,,,,,,,421357.0,0,
499,329.0651362105657,7.692382,,,,,,,,,,,422711.62,0,
500,307.1511166538297,7.7098427,,,,44,,,,,,,0,378963.0,
501,345.15391662630714,7.7098427,,,,44,14,[M+H]+,,3,504;503;501,344.14659,0,1098356.8,
502,354.10002206434854,7.7098427,,,,44,,,,,,,0,403424.3,
503,362.1803539769401,7.7098427,,,,44,14,[M+NH4]+,,3,504;503;501,344.14659,0,492961.12,
504,367.1358107903333,7.7098427,,,,44,14,[M+Na]+,,3,504;503;501,344.14659,0,2578707.2,
506,484.7943459188333,7.716263,,,,42,,,,,,,981029.7,0,
508,699.4441629965906,7.716263,,,,42,,,,,,,4518946.5,0,
509,968.5816699108184,7.716263,,,,42,,,,,,,748252.06,0,
510,500.15779392742064,7.755286,,,,,,,,,,,0,397638.38,
512,495.3062920316986,7.7782903,,,,45,,,,,,,0,587835.5,
513,268.13280580926363,7.7865705,,,,41,15,[M+H]+,,2,513;514,267.12559,676823.25,0,
514,285.1594667163798,7.7865705,,,,41,15,[M+NH4]+,,2,513;514,267.12559,5284048.5,0,
515,307.14133517895505,7.7865705,,,,41,16,[M+Na]+,,2,514;515,284.15215,993142.8,0,
516,260.1852109379872,7.8010674,,,,45,17,[M+H]+,,2,517;516,259.17785,0,1270378.6,
517,282.16698898488676,7.8010674,,,,45,17,[M+Na]+,,2,517;516,259.17785,0,624257.5,
518,476.29591637886494,7.8010674,,,,45,,,,,,,0,5191794.5,
519,367.26853684003584,7.8165417,,,,45,18,[M+H]+,,2,519;520,366.26124,542057.7,2296126.8,
520,389.25044468219164,7.8279,,,,45,18,[M+Na]+,,2,519;520,366.26124,1026551.44,4944810.5,
521,561.291807380233,7.881295,,,,52,,,,,,,522646.8,0,
522,764.5266777281402,7.881295,,,,,,,,,,,1319666.4,0,
523,192.13805399247366,7.887004,,,,52,19,[M+H]+,,2,524;523,191.13074,1.3662348E7,1.6097954E7,
524,214.11991977699037,7.887004,,,,52,19,[M+Na]+,,2,524;523,191.13074,1029220.8,1689561.6,
525,293.17196378483277,7.8927126,,,,52,,,,,,,0,765330.4,
526,295.1875287092444,7.8927126,,,,52,,,,,,,0,612866.5,
527,367.20843339059337,7.8927126,,,,,,,,,,,0,2031702.9,
529,516.189244088622,7.8927126,,,,52,,,,,,,0,482464.66,
530,563.799944752345,7.903945,,,,52,,,,,,,418110.4,0,
531,582.3448434378821,7.903945,,,,52,,,,,,,1179397.5,0,
532,267.19496654887826,7.914783,,,,49,,,,,,,0,1128348.4,
533,325.19817692830304,7.914783,,,,49,,,,,,,0,3023058.8,
534,766.4488005460802,7.926636,,,,,,,,,,,421560.56,0,
538,641.3648373559994,7.936606,,,,39,,,,,,,0,2319607.0,
540,673.3542029719491,7.936606,,,,49,,,,,,,0,2920755.0,
541,382.2217951479841,7.9603763,,,,50,20,[M+H]+,,2,542;541,381.21462,0,1385827.8,
542,404.2039327224623,7.9603763,,,,50,20,[M+Na]+,,2,542;541,381.21462,0,957379.25,
543,413.17659689266765,7.9603763,,,,50,,,,,,,0,561700.5,
544,511.2548973636393,7.976526,,,,,,,,,,,755668.6,0,
547,210.14818111516095,8.004461,,,,53,,,,,,,0,735915.0,
550,422.1990670840673,8.004461,,,,53,,,,,,,0,3034607.0,
555,209.16451447493412,8.02863,,,,48,,,,,,,0,737572.7,
556,199.12287017498645,8.023001,,,,,,,,,,,2159186.0,0,
558,517.7626853125761,8.02863,,,,48,,,,,,,0,1287733.1,
560,731.3596971476269,8.050426,,,,,,,,,,,0,2202711.0,
561,463.2167154063123,8.072428,,,,55,22,[M+H]+,,2,561;562,462.20948,0,684185.75,
562,485.19873552909206,8.072428,,,,55,22,[M+Na]+,,2,561;562,462.20948,0,1769513.8,
565,557.2196846110558,8.072428,,,,55,23,[M+Na]+,,3,563;565;564,534.23051,0,7459050.0,
568,211.086335600807,8.07276,,,,55,,,,,,,1.5676257E7,1623432.1,
570,503.7707902598354,8.095979,,,,,,,,,,,416067.16,0,
